Techstack,Links
"React, Node.js, MongoDB",https://alok-garg-portfolio.netlify.app/
"Angular,.NET, SQL Server",https://example.com/angular-portfolio
"Vue.js, Ruby on Rails, PostgreSQL",https://example.com/vue-portfolio
"Python, LLM, MySQL",https://rishuprasad.netlify.app/
"Java, Spring Boot, Oracle",https://example.com/java-portfolio
"Flutter, Firebase, GraphQL",https://example.com/flutter-portfolio
"WordPress, PHP, MySQL",https://example.com/wordpress-portfolio
"Magento, PHP, MySQL",https://example.com/magento-portfolio
"React Native, Node.js, MongoDB",https://alok-garg-portfolio.netlify.app/
"iOS, Swift, Core Data",https://example.com/ios-portfolio
"Android, Java, Room Persistence",https://example.com/android-portfolio
"Kotlin, Android, Firebase",https://example.com/kotlin-android-portfolio
"Android TV, Kotlin, Android NDK",https://example.com/android-tv-portfolio
"iOS, Swift, ARKit",https://example.com/ios-ar-portfolio
"Cross-platform, Xamarin, Azure",https://example.com/xamarin-portfolio
"Backend, Kotlin, Spring Boot",https://example.com/kotlin-backend-portfolio
"Frontend, TypeScript, Angular",https://example.com/typescript-frontend-portfolio
"Full-stack, JavaScript, Express.js",https://alok-garg-portfolio.netlify.app/
"Machine Learning, Python, TensorFlow",https://rishuprasad.netlify.app/
"DevOps, Jenkins, Docker",https://example.com/devops-portfolio
"GenAI,ML",https://rishuprasad.netlify.app/
